"Source:","C:\Users\kosma\Desktop\RGB-YPbPr-Converter\RGB-YPbPr-Converter.kicad_sch"
"Date:","07/10/2022 02:48:25"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","58"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Mouser","Part Number","TME"
"","","C1","10u/16V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Generic","","10u/16V","UVR1C100MDD"
"","","C2","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C3","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C4","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C5","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C6","10u/16V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Generic","","10u/16V","UVR1C100MDD"
"","","C7","10u/16V","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Generic","","10u/16V","UVR1C100MDD"
"","","C8","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","C9","100n/16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","Generic","","100n/16V",""
"","","D1","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","Generic","","1N4001","1N4001-DIO"
"","","D2","5.6V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","https://www.tme.eu/Document/faaef3a3ceea8ac2addceecf95f9ce09/BZX384_SER.pdf","Vishay","","BZX384-C5V6,115","BZX384-C5V6.115"
"","","D3","Green","Device:LED","LED_SMD:LED_0805_2012Metric","~","Generic","","LED 0805 Green","LTST-C170KGKT"
"","","H1","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"","","H2","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"","","H3","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"","","H4","DNP","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~","","","",""
"","","J1","Barrel Jack 5.5/2.1","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","https://www.tme.eu/pl/details/pc-gk2.1/zlacza-dc/ninigi/","Ninigi","","PC-GK2.1","PC-GK2.1"
"","","J2","D-Sub HD15 Female","Connector:DB15_Female_HighDensity_MountingHoles","lib:ICD15S13E4GV00LF","https://www.amphenol-cs.com/d-subminiature-high-density-icd15s13e4gv00lf.html","Amphenol","","ICD15S13E4GV00LF","ICD15S13E4GV00LF"
"","","J3","BNC 75 Ohm","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","https://app.adam-tech.com/products/index/category:3121","ADAM TECH","","RF1-01A-D-00-75-M","RF101AD0075M"
"","","J4","BNC 75 Ohm","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","https://app.adam-tech.com/products/index/category:3121","ADAM TECH","","RF1-01A-D-00-75-M","RF101AD0075M"
"","","J5","BNC 75 Ohm","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","https://app.adam-tech.com/products/index/category:3121","ADAM TECH","","RF1-01A-D-00-75-M","RF101AD0075M"
