"Source:","C:\Projects\Repos\RGB-YPbPr-Converter\RGB-YPbPr-Converter.kicad_sch"
"Date:","01/10/2022 01:37:22"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","26"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C4, ","3","100n","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol",""
"C3, C5, ","2","10u","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor, small symbol",""
"D1, ","1","PWR","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode",""
"J1, ","1","RGB","DB15_Male_HighDensity_MountingHoles","Connector_Dsub:DSUB-15-HD_Male_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm","15-pin male D-SUB connector, High density (3 columns), Triple Row, Generic, VGA-connector, Mounting Hole",""
"J2, ","1","Component","DB15_Male_HighDensity_MountingHoles","Connector_Dsub:DSUB-15-HD_Male_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm","15-pin male D-SUB connector, High density (3 columns), Triple Row, Generic, VGA-connector, Mounting Hole",""
"J3, ","1","PWR","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R13, R14, ","3","1k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R2, R6, R11, ","3","105","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R3, ","1","261","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R4, ","1","1070","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R5, ","1","549","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R7, R8, R9, ","3","75","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R10, ","1","2940","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"R12, ","1","174","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol",""
"U1, ","1","LMV7219M5","LMV7219M5","Package_TO_SOT_SMD:SOT-23-5","Single Low-Power High-Speed Push-Pull Output Comparator, SOT-23-5",""
"U2, ","1","LT6550","LT6550","Package_SO:MSOP-10_3x3mm_P0.5mm","",""
"U3, ","1","ICL7660","ICL7660","Package_SO:MSOP-8_3x3mm_P0.65mm","Switched-Capacitor Voltage Converter, 1.5V to 10.0V operating supply voltage, 10mA with a 0.5V output drop, SO-8/DIP-8/ÂµMAX-8/TO-99",""
